date,code,score,pool_rank,w,my_ma50_gap,my_struct_gap,my_dd_from_high_21,my_atr_pct
2018-01-02,US.AAPL,1.0,1.0,1.0,0.012835616423839236,-0.006989434573242828,-0.023580092960267973,0.012337662339679862
2018-01-03,US.AAPL,1.0,1.0,1.0,0.010693462336525128,-0.005768449161564977,-0.02375014170151024,0.012912550493857531
2018-01-04,US.AAPL,1.0,1.0,1.0,0.013316422420577512,-0.003912616305004449,-0.01921550843992026,0.012667084981433888
2018-01-08,US.AAPL,1.0,1.0,1.0,0.016645350840537754,0.003326641816150553,-0.011733363558296794,0.012812896882156918
2018-01-09,US.AAPL,1.0,1.0,1.0,0.014460258737215348,0.004279240523386074,-0.011846729401971401,0.012166990354037498
2018-01-10,US.AAPL,1.0,1.0,1.0,0.01283370182354937,0.006179356246066068,-0.012073461065050917,0.011759956719740923
2018-01-22,US.AAPL,1.0,1.0,1.0,0.02212777162796109,0.01996327683706534,-0.012607385908101065,0.012363599674610414
2018-01-23,US.AAPL,1.0,1.0,1.0,0.02218978648409986,0.020345684592262363,-0.012384246334295024,0.012179249240242634
2018-01-24,US.AAPL,1.0,1.0,1.0,0.006027387132646389,0.015299621169746914,-0.02811558629956601,0.012995473701647704
2018-01-25,US.AAPL,1.0,1.0,1.0,-0.011524797084998428,0.005893869442311572,-0.04546468815701732,0.0144965227043814
2018-01-26,US.AAPL,1.0,1.0,1.0,-0.008932379032870919,-0.0024896507461226324,-0.04323329241895657,0.01429612600828459
2018-01-29,US.AAPL,1.0,1.0,1.0,-0.029066722461075667,-0.012377947127082706,-0.06303692958827489,0.015772037561374404
2018-01-30,US.AAPL,1.0,1.0,1.0,-0.03455413829518528,-0.023836617356869903,-0.06855963405788912,0.016554299748086854
2018-01-31,US.AAPL,1.0,1.0,1.0,-0.03148330041587777,-0.030439586692182025,-0.06599352894717658,0.01676990811020957
2018-02-01,US.AAPL,1.0,1.0,1.0,-0.029192502022388656,-0.03301943020664392,-0.06404105768234458,0.01701633091202001
2018-02-02,US.AAPL,1.0,1.0,1.0,-0.0702960455467373,-0.04433333333492507,-0.10465246011505103,0.020280373834428076
2018-02-06,US.AAPL,1.0,1.0,1.0,-0.05250371954300537,-0.05340121450206228,-0.09053888206584526,0.02442144741405545
