date,port_ret,port_ret_gross,bench_ret,excess,turnover,n_hold,equity,bench_equity
2018-01-02,0.0,0.0,,,0.0,0,20000.0,20000.0
2018-01-03,-0.0011741553403573626,-0.00017415534035736258,0.009764267296738849,-0.010938422637096212,0.5,1,19976.516893192853,20195.285345934775
2018-01-04,0.004644951518347318,0.004644951518347318,0.0017581542387437032,0.0028867972796036145,0.0,1,20069.30684566718,20230.791772468372
2018-01-05,0.011385308912226666,0.011385308912226666,0.010091644202432137,0.0012936647097945286,0.0,1,20297.802103759368,20434.953724969615
2018-01-08,-0.001,0.0,0.003909451457971391,-0.004909451457971391,0.5,0,20277.50430165561,20514.843184603273
2018-01-09,-0.0011147117989157565,-0.00011471179891575645,6.181312920294779e-05,-0.0011765249281187043,0.5,1,20254.90072835799,20516.11127125562
2018-01-10,-0.00022944989388362647,-0.00022944989388362647,-0.0023487537389521584,0.002119303845068532,0.0,1,20250.253243535244,20467.923978198498
2018-01-11,0.005680188210622994,0.005680188210622994,0.006876985649934886,-0.0011967974393118919,0.0,1,20365.278493271304,20608.681597680526
2018-01-12,-0.001,0.0,0.007383800784729999,-0.00838380078473,0.5,0,20344.91321477803,20760.85199703373
2018-01-16,0.0,0.0,-0.0028707912888484843,0.0028707912888484843,0.0,0,20344.91321477803,20701.251923971573
2018-01-17,0.0,0.0,0.01084240411628623,-0.01084240411628623,0.0,0,20344.91321477803,20925.70326304432
2018-01-18,0.0,0.0,0.00018179842795418288,-0.00018179842795418288,0.0,0,20344.91321477803,20929.50752300138
2018-01-19,0.0,0.0,0.003150600002666648,-0.003150600002666648,0.0,0,20344.91321477803,20995.44802945916
2018-01-22,0.0,0.0,0.01075087444708922,-0.01075087444708922,0.0,0,20344.91321477803,21221.167455184263
2018-01-23,-0.0007740112994351058,0.00022598870056489417,0.00830604849558192,-0.009080059795017026,0.5,1,20329.166022063764,21397.431501199888
2018-01-24,-0.015928603717469514,-0.015928603717469514,-0.006518984898811531,-0.009409618818657983,0.0,1,20005.350792591664,21257.941968370207
2018-01-25,-0.01785099299143489,-0.01785099299143489,-0.00035791422920594673,-0.017493078762228942,0.0,1,19648.235415801915,21250.333448456095
2018-01-26,0.0023376775174011044,0.0023376775174011044,0.015395822353095445,-0.01305814483569434,0.0,1,19694.16665399004,21577.499807172568
2018-01-29,-0.020698501538987557,-0.020698501538987557,-0.004877821521909964,-0.015820680017077593,0.0,1,19286.52691519335,21472.248614224136
2018-01-30,-0.0058942605573423235,-0.0058942605573423235,-0.008267980492288607,0.0023737199349462834,0.0,1,19172.847100309005,21294.71648155616
2018-01-31,0.0027549859384901065,0.0027549859384901065,0.00416845495035667,-0.0014134690118665638,0.0,1,19225.668024471175,21383.482547890144
2018-02-01,0.002090425843229049,0.002090425843229049,-0.008539510758756363,0.010629936601985412,0.0,1,19265.857857762872,21200.878068612757
2018-02-02,-0.043390153773351425,-0.043390153773351425,-0.020037331955879978,-0.023352821817471447,0.0,1,18429.90932273901,20776.06903699583
2018-02-05,-0.0249844236830149,-0.0249844236830149,-0.039612317521133145,0.014627893838118244,0.0,1,17969.448659780155,19953.08079346137
2018-02-06,-0.001,0.0,0.026628885877397757,-0.027628885877397757,0.5,0,17951.479211120375,20484.409104812945
2018-02-07,-0.022407102993886596,-0.021407102993886595,-0.013000042990715222,-0.009407060003171375,0.5,1,17549.238567544184,20218.110905810976
2018-02-08,-0.02751661024814145,-0.02751661024814145,-0.04239894554319912,0.01488233529505767,0.0,1,17066.34300972942,19360.88432252914
2018-02-09,-0.001,0.0,0.017356798361318093,-0.018356798361318094,0.5,0,17049.276666719692,19696.92728781208
2018-02-12,0.0,0.0,0.017833238669477502,-0.017833238669477502,0.0,0,17049.276666719692,20048.18729319098
2018-02-13,0.009017823103868339,0.01001782310386834,0.005186658755803597,0.0038311643480647417,0.5,1,17203.024027749078,20152.1703993532
2018-02-14,0.01843738591668198,0.01843738591668198,0.018814743243570797,-0.0003773573268888164,0.0,1,17520.20282068264,20531.328311217716
2018-02-15,0.03357829957354186,0.03357829957354186,0.018652576492692363,0.014925723080849496,0.0,1,18108.501439584736,20914.290483039287
2018-02-16,-0.0032371813449278974,-0.0032371813449278974,-0.004486808338991843,0.001249626994063946,0.0,1,18049.88093653991,20820.45207009589
2018-02-20,-0.0033636838162486304,-0.0033636838162486304,0.002009891994099622,-0.005373575810348252,0.0,1,17989.166844148458,20862.29893002511
